本地编码,药品名称,制剂规格,标准关联状态,待处理原因,是否已有产品
MED-2026-T136-03,复方丹参片（颗粒、胶囊、滴丸）,每片重 0.8g（相当于饮片 1.8g）颗粒剂：每袋装 1g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W228,复方氢氧化铝片,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W406-04,复方氨基酸 18AA小儿复方氨基酸注射液（ 18AA- Ⅰ),20ml ∶1.348g（总氨基酸）小儿复方氨基酸注射液（18AA- Ⅱ)： 50ml ∶3.0g（总氨基酸）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W210-02,复方甘草口服溶液剂,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W210-01,复方甘草片,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W214-01,复方甲氧那明胶囊,每粒 含盐酸甲氧那明12.5mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W214-02,复方甲氧那明胶囊,那可丁 7mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W214-03,复方甲氧那明胶囊,氨茶碱 25mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W214-04,复方甲氧那明胶囊,马来酸氯苯那敏 2mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W092-01,多巴丝肼片,0.125g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W092-02,多巴丝肼片,0.25g（0.2g∶0.05g）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W092-03,多巴丝肼胶囊,0.125g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W092-04,多巴丝肼胶囊,0.25g（0.2g∶0.05g）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W403,多种维生素注射用无菌粉末,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W231-01,奥美拉唑肠溶（片剂、胶囊）,10mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W231-02,奥美拉唑肠溶（片剂、胶囊）,20mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T207-02,如意金黄散,每袋 9g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T207-03,如意金黄散,每袋 12g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T230-01,妇科千金片（胶囊）,常规说明书规格,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T160-01,宽胸气雾剂,每瓶 含内容物5.8g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T160-02,宽胸气雾剂,其中药液 2.7ml（含挥发油 0.6ml）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T160-03,宽胸气雾剂,每瓶 60揿,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T160-04,宽胸气雾剂,每揿重 69mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W076-04,对乙酰氨基酚口服溶液剂,混悬液,MISMATCH,缺少具体规格,否
MED-2026-W076-05,对乙酰氨基酚口服溶液剂,干混悬剂,MISMATCH,缺少具体规格,否
MED-2026-W076-06,对乙酰氨基酚口服溶液剂,栓剂,MISMATCH,缺少具体规格,否
MED-2026-T302-02,小儿柴桂退热颗粒（口服液）,每袋装 4g （每 1g 相当于饮片1.25g）,MISMATCH,剂型段落粘连或归属不明,否
MED-2026-T302-03,小儿柴桂退热颗粒（口服液）,每袋装 5g（每 1g 相当于饮片 1.0g）合剂：每 1ml 相当于饮片 0.5g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T305-01,小儿热速清合剂,每支装 10ml（每 1ml 相当于饮片 1.1625g）颗粒剂：每袋装 2g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T305-02,小儿热速清合剂,每支装 6g,MISMATCH,剂型段落粘连或归属不明,否
MED-2026-T216-03,小金丸（胶囊、片）,6g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W239-03,山莨菪碱注射液（含消旋）,1ml ∶2mg,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W239-04,山莨菪碱注射液（含消旋）,1ml ∶10mg,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W239-01,山莨菪碱片剂（含消旋）,5mg,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W239-02,山莨菪碱片剂（含消旋）,10mg,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T164-02,川芎茶调丸（散、颗粒、片）,每袋装 6g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W222-01,布地奈德吸入气雾剂,每瓶 100 揿,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W222-02,布地奈德吸入气雾剂,每揿含布地奈德 200μg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W225-01,布地格福吸入气雾剂,每瓶 120 揿,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W225-02,布地格福吸入气雾剂,每揿含布地奈德 160μg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W225-03,布地格福吸入气雾剂,格隆铵 7.2μg 和富马酸福莫特罗 4.8μg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W078-06,布洛芬缓释（片剂、胶囊）,0.3g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T210-01,康复新液合剂,每瓶装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T210-02,康复新液合剂,每瓶装 50ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T210-03,康复新液合剂,每瓶装 100ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T210-04,康复新液合剂,每1ml含美洲大蠊干燥虫体的乙醇提取物（含总氨基酸以丙氨酸计） 1mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T210-05,康复新液溶液剂,每瓶装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T210-06,康复新液溶液剂,每瓶装 50ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T210-07,康复新液溶液剂,每瓶装 100ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W246,开塞露灌肠剂（含甘油、山梨醇）,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T056-01,"强力枇杷膏（蜜炼）、
强力枇杷露煎膏剂（膏滋）",每瓶装 180g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T056-02,"强力枇杷膏（蜜炼）、
强力枇杷露煎膏剂（膏滋）",每瓶装 240g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T056-03,"强力枇杷膏（蜜炼）、
强力枇杷露煎膏剂（膏滋）",每瓶装 300g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W429,抗蛇毒血清注射液,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T149-02,护肝片（颗粒、胶囊）,每片重 0.36g（相当于饮片 1.255g）,MISMATCH,剂型段落粘连或归属不明,否
MED-2026-T149-03,护肝片（颗粒、胶囊）,每片重 0.38g颗粒剂：每袋装 2g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T281-02,接骨七厘散（丸、片）,每袋装 1.5g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T193-02,普乐安胶囊（片）,每片重 0.57g（含油菜花粉 0.5g）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T193-03,普乐安胶囊（片）,每片重 0.64g（含油菜花粉 0.5g）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T247-03,桂枝茯苓丸（胶囊）,每丸重 2.2g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W475-02,水合氯醛糖浆组合包装,水合氯醛浓缩液 1.342g∶1g/ 糖浆（稀释液）9ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W475-03,水合氯醛糖浆组合包装,水合氯醛浓缩液 0.671g∶0.5g/ 糖浆（稀释液）4.5ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W217-02,沙丁胺醇200 揿,每揿 140μg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T198-02,消炎利胆片（颗粒、胶囊）,每片重 0.25g （相当于饮片 2.6g）,MISMATCH,剂型段落粘连或归属不明,否
MED-2026-T198-03,消炎利胆片（颗粒、胶囊）,每片重 0.26g（相当于饮片 2.6g）颗粒剂：每袋装 2.5g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T286-02,消痛贴膏贴膏剂,1.2g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T055-01,润肺膏煎膏剂,每 1g 相当于饮片 20mg,MISMATCH,成分片段不是完整规格,否
MED-2026-T055-02,润肺膏煎膏剂,含莱阳梨清膏485mg,MISMATCH,成分片段不是完整规格,否
MED-2026-T063-03,"清开灵颗粒（胶囊、
软胶囊、片、注射液）",每粒装 0.2g（含黄芩苷 10mg）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T063-04,"清开灵颗粒（胶囊、
软胶囊、片、注射液）",每粒装 0.4g（含黄芩苷 20mg）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T245,滋肾育胎丸,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T131-01,灯盏花素片,每片 含灯盏花素20mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T131-02,灯盏花素片,每片 40mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W447,炉甘石洗剂,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T295-02,狗皮膏膏药,15g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T295-03,狗皮膏膏药,24g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T295-04,狗皮膏膏药,30g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W029-02,环丙沙星片,0.5g （乳酸盐）氯化钠注射液：100ml ∶0.2g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W354-03,环孢素口服溶液剂,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W354-01,环孢素胶囊,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W354-02,环孢素软胶囊,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T254-01,珍珠明目滴眼液滴眼剂,每 1ml 相当于饮片 1mg,MISMATCH,成分片段不是完整规格,否
MED-2026-T254-02,珍珠明目滴眼液滴眼剂,含珍珠液 0.02ml,MISMATCH,成分片段不是完整规格,否
MED-2026-T045-01,生脉饮合剂,每支装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T084-03,百令胶囊（片）,每片重 0.44g（含发酵冬虫夏草菌粉 0.333g）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T084-04,百令胶囊（片）,每片重 0.45g（相当于发酵冬虫夏草菌粉 0.2g）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T080-04,知柏地黄丸,每丸重 2g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W432,硫酸钡干混悬剂(Ⅰ型、Ⅱ型）,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W345-02,碳酸钙颗粒,每袋 含碳酸钙1.25g（相当于钙 500mg）与维生素 D3 200国际单位（5μg）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W020-01,红霉素肠溶（片剂、胶囊）,0.125g（12.5 万单位）,UNMAPPED,尚未建立标准关联；已有标准身份可复用，需核对具体剂型,否
MED-2026-W020-02,红霉素肠溶（片剂、胶囊）,0.25g（25万单位）,UNMAPPED,尚未建立标准关联；已有标准身份可复用，需核对具体剂型,否
MED-2026-W035,结核病用药常规定制,以国家专项规定为准,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W437,结核菌素纯蛋白衍生物注射液,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W180-01,缬沙坦氨氯地平片剂(Ⅰ),每片 含缬沙坦 80mg,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W180-02,缬沙坦氨氯地平片剂(Ⅰ),氨氯地平 5mg,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W180-03,缬沙坦氨氯地平片剂(Ⅱ),每片 含缬沙坦 160mg,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W180-04,缬沙坦氨氯地平片剂(Ⅱ),氨氯地平 5mg,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W084-03,美沙拉秦缓释片,0.5g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W084-06,美沙拉秦缓释颗粒,0.5g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W084-02,美沙拉秦肠溶片,0.5g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W250,聚乙二醇散,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T204-01,肛泰栓（软膏）,每粒 相当于饮片0.086g,MISMATCH,成分片段不是完整规格,否
MED-2026-T204-02,肛泰栓（软膏）,含盐酸小檗碱 36mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T204-03,肛泰栓（软膏）,盐酸罂粟碱 7mg软膏剂：每 1g 相当于饮片 86mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T204-04,肛泰栓（软膏）,含盐酸小檗碱36mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T204-05,肛泰栓（软膏）,盐酸罂粟碱 7mg,MISMATCH,成分片段不是完整规格,否
MED-2026-T211-01,肤痔清软膏软膏剂,每 1g 相当于饮片0.436g,MISMATCH,成分片段不是完整规格,否
MED-2026-T211-02,肤痔清软膏软膏剂,含薄荷脑 3mg,MISMATCH,成分片段不是完整规格,否
MED-2026-W311-01,胰岛素人胰岛素注射液（短效、中效和预混 30R ）,300 单位,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W311-02,胰岛素人胰岛素注射液（短效、中效和预混 30R ）,400 单位,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W272,腹膜透析液注射液（腹腔用药）,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W232-01,艾司奥美拉唑肠溶（片剂、胶囊）,20mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W051,艾滋病用药常规定制,以国家专项规定为准,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T238-04,艾附暖宫丸,每丸重 10g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T030-03,藿香正气水1ml 相当于饮片 0.66g,每支装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T030-04,藿香正气水含甘草浸膏 9.76mg,每支装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T030-05,藿香正气水广藿香油 0.78μl,每支装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T030-06,藿香正气水紫苏叶油 0.39μl合剂,每支装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T030-01,藿香正气水酊剂,每支装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T049-03,蛇胆川贝液合剂,每支装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T049-04,蛇胆川贝液合剂,每 1ml 相当于饮片0.085g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T049-01,蛇胆川贝液糖浆剂,每支装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T049-02,蛇胆川贝液糖浆剂,每 1ml 相当于饮片0.085g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W292,血友病用药注射用无菌粉末,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T109-06,血塞通滴丸剂,每丸 含三七总皂苷 5mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T109-07,血塞通滴丸剂,每丸重 28mg（含三七总皂苷 10mg）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T109-08,血塞通滴丸剂,每丸重 45mg （含三七总皂苷 10mg）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T109-03,血塞通胶囊（软胶囊、滴丸、注射液）、注射用血塞通（冻干）,每粒装 0.33g（含三七总皂苷60mg）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T109-04,血塞通胶囊（软胶囊、滴丸、注射液）、注射用血塞通（冻干）,每粒装 0.33g（含三七总皂苷120mg）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T109-05,血塞通胶囊（软胶囊、滴丸、注射液）、注射用血塞通（冻干）,每粒装 0.55g （含三七总皂苷100mg）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T135-05,血府逐瘀丸（片、口服液、胶囊）,每片重 0.42g （相当于饮片 0.74g）,MISMATCH,剂型段落粘连或归属不明,否
MED-2026-T135-06,血府逐瘀丸（片、口服液、胶囊）,每片重 0.45g合剂：每支装 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T108-04,血栓通5ml ∶175mg（三七总皂苷）注射用无菌粉末,每瓶 （支）装 100mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T108-05,血栓通5ml ∶175mg（三七总皂苷）注射用无菌粉末,每瓶 150mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T108-06,血栓通5ml ∶175mg（三七总皂苷）注射用无菌粉末,每瓶 250mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T145-03,逍遥丸（颗粒）,每袋装 6g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T145-04,逍遥丸（颗粒）,每袋装 9g颗粒剂：每袋装 5g（相当于饮片 10.0g）,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T145-05,逍遥丸（颗粒）,每袋装 15g,MISMATCH,剂型段落粘连或归属不明,否
MED-2026-W471,避孕药常规定制,以国家专项规定为准,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T111-01,银杏叶胶囊（片、滴丸）,每粒 含总黄酮醇苷 9.6mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T111-02,银杏叶胶囊（片、滴丸）,萜类内酯 2.4mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T111-03,银杏叶胶囊（片、滴丸）,每粒 含总黄酮醇苷19.2mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T111-04,银杏叶胶囊（片、滴丸）,萜类内酯 4.8mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T111-05,银杏叶胶囊（片、滴丸）,每片 含总黄酮醇苷 9.6mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T111-06,银杏叶胶囊（片、滴丸）,萜类内酯 2.4mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T111-07,银杏叶胶囊（片、滴丸）,每片 含总黄酮醇苷19.2mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T111-08,银杏叶胶囊（片、滴丸）,萜类内酯 4.8mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
